# m h(m) T/T_c 
3.460000 19.459497 2.000000
3.470000 19.517494 2.000000
3.480000 19.575551 2.000000
3.490000 19.633547 2.000000
3.500000 19.691604 2.000000
3.510000 19.749601 2.000000
3.520000 19.807597 2.000000
3.530000 19.865654 2.000000
3.540000 19.923650 2.000000
3.550000 19.981707 2.000000
3.560000 20.039704 2.000000
3.570000 20.097760 2.000000
3.580000 20.155757 2.000000
3.590000 20.213813 2.000000
3.600000 20.271810 2.000000
3.610000 20.329866 2.000000
3.620000 20.387863 2.000000
3.630000 20.445920 2.000000
3.640000 20.503916 2.000000
3.650000 20.561973 2.000000
3.660000 20.619970 2.000000
3.670000 20.678026 2.000000
3.680000 20.736082 2.000000
3.690000 20.794079 2.000000
3.700000 20.852135 2.000000
3.710000 20.910132 2.000000
3.720000 20.968189 2.000000
3.730000 21.026245 2.000000
3.740000 21.084242 2.000000
3.750000 21.142298 2.000000
3.760000 21.200354 2.000000
3.770000 21.258351 2.000000
3.780000 21.316408 2.000000
3.790000 21.374464 2.000000
3.800000 21.432520 2.000000
3.810000 21.490517 2.000000
3.820000 21.548573 2.000000
3.830000 21.606630 2.000000
3.840000 21.664686 2.000000
3.850000 21.722683 2.000000
3.860000 21.780739 2.000000
3.870000 21.838796 2.000000
3.880000 21.896852 2.000000
3.890000 21.954908 2.000000
3.900000 22.012905 2.000000
3.910000 22.070962 2.000000
3.920000 22.129018 2.000000
3.930000 22.187074 2.000000
3.940000 22.245131 2.000000
3.950000 22.303187 2.000000
3.960000 22.361243 2.000000
3.970000 22.419240 2.000000
3.980000 22.477297 2.000000
3.990000 22.535353 2.000000
4.000000 22.593409 2.000000
# m h(m) T/T_c 
0.010000 1.026575 1.000000
0.020000 1.049321 1.000000
0.030000 1.069328 1.000000
0.040000 1.087310 1.000000
0.050000 1.103626 1.000000
0.060000 1.118631 1.000000
0.070000 1.132505 1.000000
0.080000 1.145486 1.000000
0.090000 1.157693 1.000000
0.100000 1.169244 1.000000
0.110000 1.180141 1.000000
0.120000 1.190561 1.000000
0.130000 1.200446 1.000000
0.140000 1.209973 1.000000
0.150000 1.219083 1.000000
0.160000 1.227837 1.000000
0.170000 1.236292 1.000000
0.180000 1.244450 1.000000
0.190000 1.252369 1.000000
0.200000 1.259991 1.000000
0.210000 1.267434 1.000000
0.220000 1.274639 1.000000
0.230000 1.281665 1.000000
0.240000 1.288513 1.000000
0.250000 1.295122 1.000000
0.260000 1.301613 1.000000
0.270000 1.307984 1.000000
0.280000 1.314177 1.000000
0.290000 1.320250 1.000000
0.300000 1.326205 1.000000
0.310000 1.331981 1.000000
0.320000 1.337697 1.000000
0.330000 1.343294 1.000000
0.340000 1.348772 1.000000
0.350000 1.354191 1.000000
0.360000 1.359491 1.000000
0.370000 1.364671 1.000000
0.380000 1.369851 1.000000
0.390000 1.374853 1.000000
0.400000 1.379855 1.000000
0.410000 1.384738 1.000000
0.420000 1.389561 1.000000
0.430000 1.394324 1.000000
0.440000 1.398969 1.000000
0.450000 1.403613 1.000000
0.460000 1.408198 1.000000
0.470000 1.412664 1.000000
0.480000 1.417130 1.000000
